X,Y
0.0000,115.000
0.0651,88.277
0.1302,88.077
0.1953,98.581
0.2603,98.379
0.3254,88.917
0.3905,77.395
0.4556,77.138
0.5207,77.000
0.5858,110.945
0.6508,95.671
0.7159,98.478
0.7810,113.418
0.8461,82.858
0.9112,108.441
0.9763,82.851
1.0413,85.519
1.1064,97.838
1.1715,80.558
1.2366,106.439
1.3017,110.531
1.3668,114.888
1.4318,136.403
1.4969,133.000
1.5620,117.004
1.6271,88.265
1.6922,95.389
1.7573,108.992
1.8224,89.417
1.8874,98.779
1.9525,93.465
2.0176,82.742
2.0827,90.049
2.1478,119.949
2.2129,125.693
2.2779,114.561
2.3430,110.344
2.4081,104.937
2.4732,95.651
2.5383,86.655
2.6034,96.976
2.6684,98.716
2.7335,77.901
2.7986,93.416
2.8637,101.261
2.9288,111.288
2.9939,107.149
3.0589,103.134
3.1240,108.542
3.1891,129.836
3.2542,132.890
3.3193,99.980
3.3844,77.000
3.4494,83.473
3.5145,89.016
3.5796,94.527
3.6447,114.596
3.7098,110.794
3.7749,105.387
3.8400,97.589
3.9050,91.533
3.9701,84.148
4.0352,110.031
4.1003,114.658
4.1654,103.738
4.2305,84.293
4.2955,77.000
4.3606,77.000
4.4257,87.080
4.4908,129.802
4.5559,84.450
4.6210,111.712
4.6860,110.805
4.7511,94.848
4.8162,112.810
4.8813,99.708
4.9464,77.698
5.0115,78.652
5.0765,83.327
5.1416,113.176
5.2067,91.569
5.2718,96.899
5.3369,89.617
5.4020,84.096
5.4671,77.143
5.5321,111.123
5.5972,105.988
5.6623,91.709
5.7274,113.087
5.7925,126.706
5.8576,108.642
5.9226,148.917
5.9877,118.223
6.0528,80.905
6.1179,110.644
6.1830,97.813
6.2481,100.400
6.3131,81.580
6.3782,77.000
6.4433,105.662
6.5084,120.661
6.5735,106.535
6.6386,80.870
6.7036,96.414
6.7687,84.075
6.8338,78.701
6.8989,105.237
6.9640,115.000
7.0291,97.712
7.0941,82.667
7.1592,94.240
7.2243,107.190
7.2894,137.145
7.3545,101.105
7.4196,88.048
7.4847,111.364
7.5497,103.275
7.6148,86.541
7.6799,95.047
7.7450,112.447
7.8101,94.718
7.8752,106.862
7.9402,142.846
8.0053,122.552
8.0704,103.485
8.1355,135.194
8.2006,135.673
8.2657,153.112
8.3307,173.387
8.3958,172.675
8.4609,182.051
8.5260,180.193
8.5911,153.853
8.6562,146.358
8.7212,177.429
8.7863,197.096
8.8514,210.705
8.9165,161.050
8.9816,183.207
9.0467,186.004
9.1118,176.086
9.1768,164.869
9.2419,161.835
9.3070,153.043
9.3721,167.708
9.4372,147.078
9.5023,123.787
9.5673,118.237
9.6324,135.063
9.6975,170.003
9.7626,131.303
9.8277,148.565
9.8928,137.530
9.9578,143.986
10.0229,230.754
10.0880,163.728
10.1531,193.870
10.2182,208.816
10.2833,191.130
10.3483,193.783
10.4134,127.168
10.4785,151.091
10.5436,115.471
10.6087,140.636
10.6738,178.543
10.7388,171.384
10.8039,154.159
10.8690,142.149
10.9341,119.279
10.9992,189.908
11.0643,161.582
11.1294,179.207
11.1944,117.985
11.2595,115.000
11.3246,151.534
11.3897,150.436
11.4548,188.548
11.5199,129.138
11.5849,162.187
11.6500,173.850
11.7151,142.902
11.7802,127.465
11.8453,148.468
11.9104,154.985
11.9754,155.256
12.0405,132.746
12.1056,165.832
12.1707,157.233
12.2358,168.510
12.3009,216.457
12.3659,199.126
12.4310,131.764
12.4961,124.031
12.5612,120.204
12.6263,136.292
12.6914,167.428
12.7565,164.953
12.8215,178.435
12.8866,219.333
12.9517,220.249
13.0168,213.119
13.0819,222.017
13.1470,245.514
13.2120,220.299
13.2771,170.373
13.3422,175.628
13.4073,178.600
13.4724,166.669
13.5375,169.320
13.6025,153.433
13.6676,149.375
13.7327,204.009
13.7978,203.590
13.8629,165.715
13.9280,169.340
13.9930,170.358
14.0581,154.000
14.1232,170.221
14.1883,175.470
14.2534,155.259
14.3185,168.265
14.3835,147.390
14.4486,133.581
14.5137,147.247
14.5788,140.589
14.6439,140.565
14.7090,183.732
14.7741,173.519
14.8391,165.835
14.9042,169.420
14.9693,196.909
15.0344,187.043
15.0995,182.538
15.1646,163.012
15.2296,189.462
15.2947,170.776
15.3598,150.706
15.4249,145.257
15.4900,147.063
15.5551,128.240
15.6201,180.412
15.6852,150.345
15.7503,177.100
15.8154,155.906
15.8805,163.526
15.9456,150.812
16.0106,118.237
16.0757,151.225
16.1408,116.645
16.2059,139.020
16.2710,170.221
16.3361,164.558
16.4012,153.603
16.4662,115.000
