X,Y
0.00000,77
0.06508,77
0.13017,77
0.19525,38
0.26034,38
0.32542,38
0.39050,77
0.45559,38
0.52067,77
0.58576,77
0.65084,115
0.71592,77
0.78101,38
0.84609,77
0.91118,77
0.97626,77
1.04134,38
1.10643,77
1.17151,38
1.23659,77
1.30168,77
1.36676,38
1.43185,154
1.49693,115
1.56201,38
1.62710,38
1.69218,77
1.75727,38
1.82235,38
1.88743,77
1.95252,77
2.01760,77
2.08269,77
2.14777,77
2.21285,77
2.27794,38
2.34302,77
2.40811,38
2.47319,77
2.53827,38
2.60336,77
2.66844,77
2.73353,77
2.79861,77
2.86369,77
2.92878,77
2.99386,38
3.05894,77
3.12403,77
3.18911,77
3.25420,77
3.31928,38
3.38436,77
3.44945,38
3.51453,77
3.57962,77
3.64470,77
3.70978,77
3.77487,77
3.83995,77
3.90504,115
3.97012,77
4.03520,77
4.10029,77
4.16537,77
4.23046,115
4.29554,77
4.36062,115
4.42571,115
4.49079,154
4.55588,192
4.62096,154
4.68604,231
4.75113,115
4.81621,115
4.88130,115
4.94638,154
5.01146,115
5.07655,154
5.14163,115
5.20671,115
5.27180,115
5.33688,77
5.40197,115
5.46705,115
5.53213,115
5.59722,115
5.66230,115
5.72739,115
5.79247,77
5.85755,77
5.92264,115
5.98772,115
6.05281,77
6.11789,154
6.18297,77
6.24806,77
6.31314,77
6.37823,115
6.44331,115
6.50839,77
6.57348,115
6.63856,77
6.70365,77
6.76873,77
6.83381,115
6.89890,77
6.96398,77
7.02906,77
7.09415,77
7.15923,115
7.22432,115
7.28940,77
7.35448,115
7.41957,77
7.48465,77
7.54974,115
7.61482,115
7.67990,115
7.74499,154
7.81007,77
7.87516,115
7.94024,154
8.00532,77
8.07041,154
8.13549,115
8.20058,115
8.26566,115
8.33074,77
8.39583,115
8.46091,115
8.52600,115
8.59108,154
8.65616,115
8.72125,115
8.78633,77
8.85141,154
8.91650,77
8.98158,115
9.04667,154
9.11175,77
9.17684,77
