X,Y
0.0000,115.000
0.0651,130.372
0.1302,115.821
0.1953,115.000
0.2603,99.185
0.3254,99.498
0.3905,95.118
0.4556,143.071
0.5207,148.193
0.5858,137.269
0.6508,111.282
0.7159,77.000
0.7810,100.897
0.8461,187.722
0.9112,105.786
0.9763,103.804
1.0413,113.654
1.1064,78.187
1.1715,98.361
1.2366,85.618
1.3017,138.691
1.3668,128.577
1.4318,126.282
1.4969,120.154
1.5620,137.154
1.6271,113.356
1.6922,145.444
1.7573,115.988
1.8224,113.876
1.8874,123.846
1.9525,101.759
2.0176,115.068
2.0827,118.385
2.1478,116.885
2.2129,138.704
2.2779,119.551
2.3430,137.846
2.4081,133.056
2.4732,78.749
2.5383,108.667
2.6034,117.205
2.6684,88.692
2.7335,84.645
2.7986,77.437
2.8637,96.087
2.9288,85.541
2.9939,130.853
3.0589,118.205
3.1240,101.231
3.1891,98.124
3.2542,115.000
3.3193,102.746
3.3844,106.556
3.4494,92.877
3.5145,86.893
3.5796,104.132
3.6447,101.634
3.7098,94.951
3.7749,80.473
3.8400,113.588
3.9050,198.156
3.9701,124.938
4.0352,97.462
4.1003,81.047
4.1654,77.000
4.2305,77.000
4.2955,117.615
4.3606,103.688
4.4257,83.646
4.4908,109.641
4.5559,105.521
4.6210,82.806
4.6860,111.154
4.7511,124.052
4.8162,83.870
4.8813,79.436
4.9464,109.252
5.0115,115.000
5.0765,115.000
5.1416,113.826
5.2067,108.030
5.2718,115.000
5.3369,124.178
5.4020,134.872
5.4671,115.759
5.5321,115.000
5.5972,143.205
5.6623,136.699
5.7274,94.538
5.7925,103.308
5.8576,77.450
5.9226,100.222
5.9877,115.000
6.0528,88.692
6.1179,85.120
6.1830,105.419
6.2481,106.231
6.3131,78.088
6.3782,78.024
6.4433,132.769
6.5084,113.924
6.5735,95.500
6.6386,115.000
6.7036,114.188
6.7687,93.889
6.8338,110.217
6.8989,98.586
6.9640,100.235
7.0291,120.888
7.0941,126.840
7.1592,133.990
7.2243,106.772
7.2894,83.496
7.3545,85.494
7.4196,95.363
7.4847,111.701
7.5497,109.354
7.6148,96.000
7.6799,114.106
7.7450,120.008
7.8101,115.000
7.8752,130.000
7.9402,138.373
8.0053,92.382
8.0704,140.161
8.1355,117.038
8.2006,129.580
8.2657,135.140
8.3307,94.189
8.3958,86.270
8.4609,115.000
8.5260,82.846
8.5911,109.304
8.6562,116.671
8.7212,117.597
8.7863,141.538
8.8514,115.000
8.9165,122.167
8.9816,121.462
9.0467,109.104
9.1118,81.372
9.1768,97.124
9.2419,115.000
9.3070,130.167
9.3721,148.527
9.4372,116.166
9.5023,115.000
9.5673,122.885
9.6324,144.475
9.6975,94.164
9.7626,112.452
9.8277,105.131
9.8928,115.000
9.9578,97.462
10.0229,103.790
10.0880,172.521
10.1531,115.000
10.2182,87.106
10.2833,112.825
10.3483,134.654
10.4134,109.855
10.4785,86.022
10.5436,115.000
10.6087,115.000
10.6738,126.795
10.7388,113.818
10.8039,113.338
10.8690,145.833
10.9341,123.462
10.9992,115.000
11.0643,108.954
11.1294,120.299
11.1944,128.398
11.2595,96.750
11.3246,104.732
11.3897,96.862
11.4548,115.000
11.5199,101.884
11.5849,115.000
11.6500,126.154
11.7151,139.692
11.7802,145.856
11.8453,174.889
11.9104,117.886
11.9754,96.337
12.0405,111.927
12.1056,109.753
12.1707,95.994
12.2358,137.333
12.3009,116.500
12.3659,125.525
12.4310,129.300
12.4961,93.564
12.5612,91.278
12.6263,117.205
12.6914,115.000
12.7565,115.000
12.8215,117.821
12.8866,131.154
12.9517,130.637
13.0168,95.388
13.0819,115.000
13.1470,115.000
13.2120,115.000
13.2771,137.785
13.3422,125.321
13.4073,102.183
13.4724,80.373
13.5375,115.000
13.6025,82.846
13.6676,102.838
13.7327,102.483
13.7978,115.000
13.8629,115.000
13.9280,126.385
13.9930,117.551
14.0581,103.757
14.1232,99.673
14.1883,105.731
14.2534,114.850
14.3185,118.128
14.3835,149.722
14.4486,100.822
14.5137,118.346
14.5788,154.133
14.6439,170.003
14.7090,114.436
14.7741,79.923
14.8391,112.077
14.9042,105.381
14.9693,102.383
15.0344,115.000
15.0995,126.179
15.1646,135.423
15.2296,154.000
