X,Y
0.0000,77
0.0651,38
0.1302,77
0.1953,38
0.2603,38
0.3254,38
0.3905,38
0.4556,77
0.5207,77
0.5858,38
0.6508,77
0.7159,38
0.7810,38
0.8461,38
0.9112,77
0.9763,38
1.0413,38
1.1064,38
1.1715,38
1.2366,38
1.3017,77
1.3668,77
1.4318,38
1.4969,77
1.5620,38
1.6271,38
1.6922,77
1.7573,77
1.8224,77
1.8874,77
1.9525,38
2.0176,38
2.0827,38
2.1478,38
2.2129,77
2.2779,38
2.3430,77
2.4081,38
2.4732,77
2.5383,38
2.6034,38
2.6684,77
2.7335,38
2.7986,38
2.8637,77
2.9288,77
2.9939,38
3.0589,77
3.1240,77
3.1891,77
3.2542,77
3.3193,38
3.3844,77
3.4494,38
3.5145,38
3.5796,77
3.6447,38
3.7098,77
3.7749,77
3.8400,77
3.9050,77
3.9701,77
4.0352,38
4.1003,38
4.1654,77
4.2305,77
4.2955,38
4.3606,77
4.4257,38
4.4908,38
4.5559,77
4.6210,38
4.6860,77
4.7511,38
4.8162,77
4.8813,38
4.9464,77
5.0115,115
5.0765,38
5.1416,77
5.2067,38
5.2718,77
5.3369,77
5.4020,154
5.4671,77
5.5321,38
5.5972,77
5.6623,38
5.7274,77
5.7925,77
5.8576,77
5.9226,77
5.9877,38
6.0528,77
6.1179,77
6.1830,77
6.2481,38
6.3131,38
6.3782,38
6.4433,77
6.5084,38
6.5735,77
6.6386,38
6.7036,38
6.7687,77
6.8338,38
6.8989,38
6.9640,77
7.0291,77
7.0941,38
7.1592,77
7.2243,77
7.2894,38
7.3545,77
7.4196,77
7.4847,77
7.5497,77
7.6148,77
7.6799,77
7.7450,38
7.8101,38
7.8752,77
7.9402,77
8.0053,77
8.0704,77
8.1355,38
8.2006,77
8.2657,38
8.3307,115
8.3958,38
8.4609,77
8.5260,38
8.5911,77
8.6562,77
8.7212,77
8.7863,38
8.8514,38
8.9165,77
8.9816,77
9.0467,77
9.1118,77
9.1768,38
9.2419,77
9.3070,77
9.3721,77
9.4372,77
9.5023,77
9.5673,77
9.6324,77
9.6975,77
9.7626,115
9.8277,77
9.8928,38
9.9578,77
10.0229,38
10.0880,77
10.1531,77
10.2182,77
